intento_id,usuario_id,evento_id,zona,cantidad
1,u41906,1,General,3
2,u16050,2,Norte,1
3,u44349,5,General,4
4,u2083,1,General,2
5,u15248,5,General,2
6,u46926,5,Mesa VIP,2
7,u29440,5,Mesa VIP,1
8,u49730,2,Preferencial,4
9,u22299,3,General,2
10,u22060,1,General,4
11,u6339,3,VIP,3
12,u2848,4,Luneta,4
13,u5165,5,Mesa VIP,3
14,u37838,2,Preferencial,1
15,u3004,2,Sur,1
16,u15257,1,VIP,3
17,u29715,3,General,3
18,u23284,2,Preferencial,3
19,u45995,1,Platinum,2
20,u35006,2,Norte,4
21,u24868,3,General,3
22,u3666,2,Norte,3
23,u26291,3,General,2
24,u37171,3,General,4
25,u25929,4,Luneta,3
26,u9151,2,Preferencial,3
27,u48957,5,Mesa VIP,4
28,u23724,2,Norte,4
29,u5958,1,General,2
30,u41121,2,Preferencial,4
31,u39087,1,VIP,4
32,u39053,4,Balcon,1
33,u44584,1,Platinum,3
34,u42007,3,General,3
35,u28493,2,Sur,1
36,u47324,3,General,1
37,u40980,3,General,2
38,u24505,2,Preferencial,1
39,u39253,3,VIP,1
40,u7332,3,VIP,2
41,u3797,2,Preferencial,1
42,u5614,4,Luneta,2
43,u8415,4,Luneta,3
44,u34582,5,Mesa VIP,2
45,u35344,2,Preferencial,3
46,u26149,3,VIP,4
47,u7931,2,Norte,1
48,u22157,1,Platinum,2
49,u38565,2,Norte,1
50,u46390,1,General,1
51,u2059,3,General,2
52,u18251,4,Luneta,2
53,u47406,5,Mesa VIP,2
54,u30997,4,Luneta,1
55,u6353,4,Balcon,4
56,u26942,4,Luneta,1
57,u3973,4,Balcon,1
58,u16296,2,Norte,4
59,u9187,4,Luneta,3
60,u30319,2,Norte,4
61,u36067,1,General,1
62,u6113,2,Norte,4
63,u31827,4,Luneta,4
64,u3843,2,Sur,1
65,u25587,3,VIP,3
66,u27723,5,Mesa VIP,2
67,u12446,3,General,1
68,u37958,5,General,3
69,u3747,1,Platinum,4
70,u32955,5,General,1
71,u33282,1,General,1
72,u38997,1,Platinum,2
73,u26462,1,Platinum,2
74,u37941,5,General,1
75,u27475,5,Mesa VIP,3
76,u13387,3,General,3
77,u25939,2,Preferencial,3
78,u29965,3,General,1
79,u30035,5,General,1
80,u35235,2,Preferencial,3
81,u8681,3,General,2
82,u24218,3,General,4
83,u35601,3,General,3
84,u43476,1,General,3
85,u7565,1,Platinum,2
86,u17849,3,General,3
87,u13343,3,VIP,3
88,u3330,1,Platinum,4
89,u18133,1,General,3
90,u8574,3,General,4
91,u36155,4,Luneta,1
92,u4932,2,Preferencial,1
93,u24197,5,General,4
94,u8353,1,VIP,3
95,u2615,3,General,2
96,u43709,1,VIP,4
97,u40676,2,Norte,2
98,u11604,4,Luneta,2
99,u48272,3,VIP,2
100,u17486,2,Preferencial,1
101,u25071,1,VIP,2
102,u13080,4,Balcon,3
103,u14916,2,Norte,2
104,u26114,3,VIP,1
105,u18293,3,VIP,3
106,u1809,1,VIP,2
107,u38050,3,General,1
108,u39097,4,Balcon,3
109,u28600,5,General,4
110,u37788,2,Sur,1
111,u46451,4,Luneta,2
112,u23870,4,Luneta,3
113,u40840,3,General,3
